date,close,volume
2019-03-28,1.49,0
2019-03-29,1.49,0
2019-04-01,1.49,0
2019-04-02,1.49,0
2019-04-03,1.49,0
2019-04-04,1.49,0
2019-04-05,1.49,0
2019-04-08,1.49,0
2019-04-09,1.49,0
2019-04-10,1.49,0
2019-04-11,1.49,0
2019-04-12,1.49,0
2019-04-15,1.49,0
2019-04-16,1.49,0
2019-04-17,1.49,0
2019-04-18,1.49,0
2019-04-22,1.49,0
2019-04-23,1.49,0
2019-04-24,1.49,0
2019-04-25,1.49,0
2019-04-26,1.49,0
2019-04-29,1.49,0
2019-04-30,1.49,0
2019-05-01,1.49,0
2019-05-02,1.49,0
2019-05-03,1.49,0
2019-05-06,1.49,0
2019-05-07,1.49,0
2019-05-08,1.49,0
2019-05-09,1.49,0
2019-05-10,1.49,0
2019-05-13,1.49,0
2019-05-14,1.49,0
2019-05-15,1.49,0
2019-05-16,1.49,0
2019-05-17,1.49,0
2019-05-20,1.49,0
2019-05-21,1.49,0
2019-05-22,1.49,0
2019-05-23,1.49,0
2019-05-24,1.49,0
2019-05-28,1.49,0
2019-05-29,1.49,0
2019-05-30,1.49,0
2019-05-31,1.49,0
2019-06-03,1.49,0
2019-06-04,1.49,0
2019-06-05,1.49,0
2019-06-06,1.49,0
2019-06-07,1.49,0
2019-06-10,1.49,0
2019-06-11,1.49,0
2019-06-12,1.49,0
2019-06-13,1.49,0
2019-06-14,1.49,0
2019-06-17,1.49,0
2019-06-18,1.49,0
2019-06-19,1.49,0
2019-06-20,1.49,0
2019-06-21,1.49,0
2019-06-24,1.49,0
2019-06-25,1.49,0
2019-06-26,1.49,0
2019-06-27,1.49,0
2019-06-28,1.49,0
2019-07-01,1.49,0
2019-07-02,1.49,0
2019-07-03,1.49,0
2019-07-05,1.49,0
2019-07-08,1.49,0
2019-07-09,1.49,0
2019-07-10,1.49,0
2019-07-11,1.49,0
2019-07-12,1.49,0
2019-07-15,1.49,0
2019-07-16,1.49,0
2019-07-17,1.49,0
2019-07-18,1.49,0
2019-07-19,1.49,0
2019-07-22,1.49,0
